Date,
1/11/2022,53
1/12/2022,53
1/13/2022,53
1/14/2022,53
1/18/2022,52
1/19/2022,52
1/20/2022,52
1/21/2022,52
1/24/2022,66
1/25/2022,66
1/26/2022,66
1/27/2022,66
1/28/2022,66
1/31/2022,50
2/1/2022,50
2/2/2022,50
2/3/2022,50
2/4/2022,50
2/7/2022,53
2/8/2022,53
2/9/2022,53
2/10/2022,53
2/11/2022,53
2/14/2022,70
2/15/2022,70
2/16/2022,70
2/17/2022,70
2/18/2022,70
2/22/2022,64
2/23/2022,64
2/24/2022,64
2/25/2022,64
2/28/2022,59
3/1/2022,59
3/2/2022,59
3/3/2022,59
3/4/2022,59
3/7/2022,62
3/8/2022,62
3/9/2022,62
3/10/2022,62
3/11/2022,62
3/14/2022,59
3/15/2022,59
3/16/2022,59
3/17/2022,59
3/18/2022,59
3/21/2022,63
3/22/2022,63
3/23/2022,63
3/24/2022,63
3/25/2022,63
3/28/2022,57
3/29/2022,57
3/30/2022,57
3/31/2022,57
4/1/2022,57
4/4/2022,53
4/5/2022,53
4/6/2022,53
4/7/2022,53
4/8/2022,53
4/11/2022,52
4/12/2022,52
4/13/2022,52
4/14/2022,52
4/18/2022,54
4/19/2022,54
4/20/2022,54
4/21/2022,54
4/22/2022,54
4/25/2022,51
4/26/2022,51
4/27/2022,51
4/28/2022,51
4/29/2022,51
5/2/2022,49
5/3/2022,49
5/4/2022,49
5/5/2022,49
5/6/2022,49
5/9/2022,52
5/10/2022,52
5/11/2022,52
5/12/2022,52
5/13/2022,52
5/16/2022,44
5/17/2022,44
5/18/2022,44
5/19/2022,44
5/20/2022,44
5/23/2022,53
5/24/2022,53
5/25/2022,53
5/26/2022,53
5/27/2022,53
5/31/2022,41
6/1/2022,41
6/2/2022,41
6/3/2022,41
6/6/2022,44
6/7/2022,44
6/8/2022,44
6/9/2022,44
6/10/2022,44
6/13/2022,54
6/14/2022,54
6/15/2022,54
6/16/2022,54
6/17/2022,54
6/21/2022,50
6/22/2022,50
6/23/2022,50
6/24/2022,50
6/27/2022,50
6/28/2022,50
6/29/2022,50
6/30/2022,50
7/1/2022,50
7/5/2022,44
7/6/2022,44
7/7/2022,44
7/8/2022,44
7/11/2022,51
7/12/2022,51
7/13/2022,51
7/14/2022,51
7/15/2022,51
7/18/2022,68
7/19/2022,68
7/20/2022,68
7/21/2022,68
7/22/2022,68
7/25/2022,58
7/26/2022,58
7/27/2022,58
7/28/2022,58
7/29/2022,58
8/1/2022,52
8/2/2022,52
8/3/2022,52
8/4/2022,52
8/5/2022,52
8/8/2022,59
8/9/2022,59
8/10/2022,59
8/11/2022,59
8/12/2022,59
8/15/2022,50
8/16/2022,50
8/17/2022,50
8/18/2022,50
8/19/2022,50
8/22/2022,49
8/23/2022,49
8/24/2022,49
8/25/2022,49
8/26/2022,49
8/29/2022,46
8/30/2022,46
8/31/2022,46
9/1/2022,46
9/2/2022,46
9/6/2022,37
9/7/2022,37
9/8/2022,37
9/9/2022,37
9/12/2022,39
9/13/2022,39
9/14/2022,39
9/15/2022,39
9/16/2022,39
9/19/2022,59
9/20/2022,59
9/21/2022,59
9/22/2022,59
9/23/2022,59
9/26/2022,39
9/27/2022,39
9/28/2022,39
9/29/2022,39
9/30/2022,39
10/3/2022,40
10/4/2022,40
10/5/2022,40
10/6/2022,40
10/7/2022,40
10/10/2022,45
10/11/2022,45
10/12/2022,45
10/13/2022,45
10/14/2022,45
10/17/2022,38
10/18/2022,38
10/19/2022,38
10/20/2022,38
10/21/2022,38
10/24/2022,42
10/25/2022,42
10/26/2022,42
10/27/2022,42
10/28/2022,42
10/31/2022,47
11/1/2022,47
11/2/2022,47
11/3/2022,47
11/4/2022,47
11/7/2022,47
11/8/2022,47
11/9/2022,47
11/10/2022,47
11/11/2022,47
11/14/2022,51
11/15/2022,51
11/16/2022,51
11/17/2022,51
11/18/2022,51
11/21/2022,42
11/22/2022,42
11/23/2022,42
11/25/2022,42
11/28/2022,41
11/29/2022,41
11/30/2022,41
