Date,TSMC_googl
12/9/2021,29
12/10/2021,29
12/13/2021,30
12/14/2021,30
12/15/2021,30
12/16/2021,30
12/17/2021,30
12/20/2021,21
12/21/2021,21
12/22/2021,21
12/23/2021,21
12/27/2021,25
12/28/2021,25
12/29/2021,25
12/30/2021,25
12/31/2021,25
1/3/2022,44
1/4/2022,44
1/5/2022,44
1/6/2022,44
1/7/2022,44
1/10/2022,52
1/11/2022,52
1/12/2022,52
1/13/2022,52
1/14/2022,52
1/18/2022,48
1/19/2022,48
1/20/2022,48
1/21/2022,48
1/24/2022,45
1/25/2022,45
1/26/2022,45
1/27/2022,45
1/28/2022,45
1/31/2022,33
2/1/2022,33
2/2/2022,33
2/3/2022,33
2/4/2022,33
2/7/2022,38
2/8/2022,38
2/9/2022,38
2/10/2022,38
2/11/2022,38
2/14/2022,36
2/15/2022,36
2/16/2022,36
2/17/2022,36
2/18/2022,36
2/22/2022,54
2/23/2022,54
2/24/2022,54
2/25/2022,54
2/28/2022,47
3/1/2022,47
3/2/2022,47
3/3/2022,47
3/4/2022,47
3/7/2022,45
3/8/2022,45
3/9/2022,45
3/10/2022,45
3/11/2022,45
3/14/2022,41
3/15/2022,41
3/16/2022,41
3/17/2022,41
3/18/2022,41
3/21/2022,32
3/22/2022,32
3/23/2022,32
3/24/2022,32
3/25/2022,32
3/28/2022,32
3/29/2022,32
3/30/2022,32
3/31/2022,32
4/1/2022,32
4/4/2022,34
4/5/2022,34
4/6/2022,34
4/7/2022,34
4/8/2022,34
4/11/2022,39
4/12/2022,39
4/13/2022,39
4/14/2022,39
4/18/2022,35
4/19/2022,35
4/20/2022,35
4/21/2022,35
4/22/2022,35
4/25/2022,36
4/26/2022,36
4/27/2022,36
4/28/2022,36
4/29/2022,36
5/2/2022,38
5/3/2022,38
5/4/2022,38
5/5/2022,38
5/6/2022,38
5/9/2022,32
5/10/2022,32
5/11/2022,32
5/12/2022,32
5/13/2022,32
5/16/2022,29
5/17/2022,29
5/18/2022,29
5/19/2022,29
5/20/2022,29
5/23/2022,32
5/24/2022,32
5/25/2022,32
5/26/2022,32
5/27/2022,32
5/31/2022,30
6/1/2022,30
6/2/2022,30
6/3/2022,30
6/6/2022,40
6/7/2022,40
6/8/2022,40
6/9/2022,40
6/10/2022,40
6/13/2022,33
6/14/2022,33
6/15/2022,33
6/16/2022,33
6/17/2022,33
6/21/2022,32
6/22/2022,32
6/23/2022,32
6/24/2022,32
6/27/2022,31
6/28/2022,31
6/29/2022,31
6/30/2022,31
7/1/2022,31
7/5/2022,35
7/6/2022,35
7/7/2022,35
7/8/2022,35
7/11/2022,44
7/12/2022,44
7/13/2022,44
7/14/2022,44
7/15/2022,44
7/18/2022,34
7/19/2022,34
7/20/2022,34
7/21/2022,34
7/22/2022,34
7/25/2022,37
7/26/2022,37
7/27/2022,37
7/28/2022,37
7/29/2022,37
8/1/2022,83
8/2/2022,83
8/3/2022,83
8/4/2022,83
8/5/2022,83
8/8/2022,46
8/9/2022,46
8/10/2022,46
8/11/2022,46
8/12/2022,46
8/15/2022,38
8/16/2022,38
8/17/2022,38
8/18/2022,38
8/19/2022,38
8/22/2022,36
8/23/2022,36
8/24/2022,36
8/25/2022,36
8/26/2022,36
8/29/2022,35
8/30/2022,35
8/31/2022,35
9/1/2022,35
9/2/2022,35
9/6/2022,31
9/7/2022,31
9/8/2022,31
9/9/2022,31
9/12/2022,32
9/13/2022,32
9/14/2022,32
9/15/2022,32
9/16/2022,32
9/19/2022,33
9/20/2022,33
9/21/2022,33
9/22/2022,33
9/23/2022,33
9/26/2022,36
9/27/2022,36
9/28/2022,36
9/29/2022,36
9/30/2022,36
10/3/2022,37
10/4/2022,37
10/5/2022,37
10/6/2022,37
10/7/2022,37
10/10/2022,59
10/11/2022,59
10/12/2022,59
10/13/2022,59
10/14/2022,59
10/17/2022,43
10/18/2022,43
10/19/2022,43
10/20/2022,43
10/21/2022,43
10/24/2022,44
10/25/2022,44
10/26/2022,44
10/27/2022,44
10/28/2022,44
10/31/2022,34
11/1/2022,34
11/2/2022,34
11/3/2022,34
11/4/2022,34
11/7/2022,33
11/8/2022,33
11/9/2022,33
11/10/2022,33
11/11/2022,33
11/14/2022,100
11/15/2022,100
11/16/2022,100
11/17/2022,100
11/18/2022,100
11/21/2022,61
11/22/2022,61
11/23/2022,61
11/25/2022,61
11/28/2022,50
11/29/2022,50
11/30/2022,50
